"quote";"author";"context";"source";"date"
"Escassa como pelo em recavém de touro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Escassa como passarinho em zona de gringo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Esfarrapado que nem poncho de gaudério.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Esparramados como dedos de pés que nunca entraram em botas.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se espalhou como como pó de mangueira em pé de vento.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Extraviado que nem chinelo de bêbado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais entravado que carteira de sovina.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Faceiro que nem ganso novo em taipa de açude.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Faceiro como pica-pau em tronqueira.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Faceiro como mosca em rolha de xarope.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Faceiro como guri de tirador novo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais fechado que baú de solteirona.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais fedorento que arroto de corvo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Feliz como pinto no lixo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Feliz como puta em dia de pagamento de quartel.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Feia como mulher de cego.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio que indigestão de torresmo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio que rodada de cusco em lançante.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio que briga de foice no escuro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio que paraguaio baleado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio que sapato de padre.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Firme que nem palanque em banhado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Firme que nem prego em taquara.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Firme como beliscão de ganso.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
